state,district_name,agro_climatic_zone,drought_prone_flag,flood_prone_flag,aspirational_district_flag,state_rural_poverty_rate_pct,state_irrigation_coverage_pct,state_avg_landholding_ha
Andhra Pradesh,Y.S.R. Kadapa,Southern Plateau and Hills Region,1,0,1,7.71,63.9,0.94
Arunachal Pradesh,Anjaw,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Changlang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Dibang Valley,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,East Kameng,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,East Siang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Itanagar Capital Complex,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Kamle,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Kra Daadi,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Kurung Kumey,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Lepa Rada,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Lohit,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Longding,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Lower Dibang Valley,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Lower Siang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Lower Subansiri,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Namsai,Eastern Himalayan Region,0,0,1,18.0,12.5,3.35
Arunachal Pradesh,Pakke Kessang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Papum Pare,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Shi Yomi,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Siang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Tawang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Tirap,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Upper Siang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,Upper Subansiri,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,West Kameng,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Arunachal Pradesh,West Siang,Eastern Himalayan Region,0,0,0,18.0,12.5,3.35
Assam,Bajali,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Baksa,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,Barpeta,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,Biswanath,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Bongaigaon,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Cachar,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Charaideo,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Chirang,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Darrang,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,Dhemaji,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Dhubri,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,Dibrugarh,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Dima Hasao,Eastern Himalayan Region,0,0,0,21.41,4.9,1.09
Assam,Goalpara,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,Golaghat,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Hailakandi,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,Hojai,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Jorhat,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Kamrup,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Kamrup Metropolitan,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Karbi Anglong,Eastern Himalayan Region,0,0,0,21.41,4.9,1.09
Assam,Karimganj,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Kokrajhar,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Lakhimpur,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Majuli,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Morigaon,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Nagaon,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Nalbari,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Sivasagar,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,South Salmara-Mankachar,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Sonitpur,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Tinsukia,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Assam,Udalguri,Eastern Himalayan Region,0,1,1,21.41,4.9,1.09
Assam,West Karbi Anglong,Eastern Himalayan Region,0,0,0,21.41,4.9,1.09
Assam,Tamulpur,Eastern Himalayan Region,0,1,0,21.41,4.9,1.09
Bihar,Araria,Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Arwal,Middle Gangetic Plains Region,1,0,0,37.11,63.4,0.39
Bihar,Aurangabad,Middle Gangetic Plains Region,1,0,1,37.11,63.4,0.39
Bihar,Banka,Middle Gangetic Plains Region,1,0,1,37.11,63.4,0.39
Bihar,Begusarai,Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Bhagalpur,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Bhojpur,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Buxar,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Darbhanga,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,East Champaran (Motihari),Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Gaya,Middle Gangetic Plains Region,1,0,1,37.11,63.4,0.39
Bihar,Gopalganj,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Jamui,Middle Gangetic Plains Region,1,0,1,37.11,63.4,0.39
Bihar,Jehanabad,Middle Gangetic Plains Region,1,0,0,37.11,63.4,0.39
Bihar,Kaimur (Bhabua),Middle Gangetic Plains Region,1,0,0,37.11,63.4,0.39
Bihar,Katihar,Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Khagaria,Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Kishanganj,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Lakhisarai,Middle Gangetic Plains Region,0,0,0,37.11,63.4,0.39
Bihar,Madhepura,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Madhubani,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Munger (Monghyr),Middle Gangetic Plains Region,0,0,0,37.11,63.4,0.39
Bihar,Muzaffarpur,Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Nalanda,Middle Gangetic Plains Region,0,0,0,37.11,63.4,0.39
Bihar,Nawada,Middle Gangetic Plains Region,1,0,1,37.11,63.4,0.39
Bihar,Patna,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Purnia (Purnea),Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Rohtas,Middle Gangetic Plains Region,1,1,0,37.11,63.4,0.39
Bihar,Saharsa,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Samastipur,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Saran,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Sheikhpura,Middle Gangetic Plains Region,0,0,1,37.11,63.4,0.39
Bihar,Sheohar,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Sitamarhi,Middle Gangetic Plains Region,0,1,1,37.11,63.4,0.39
Bihar,Siwan,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Supaul,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,Vaishali,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Bihar,West Champaran,Middle Gangetic Plains Region,0,1,0,37.11,63.4,0.39
Chandigarh (UT),Chandigarh,Trans-Gangetic Plains Region,0,0,0,1.5,100.0,1.22
Chhattisgarh,Balod,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Baloda Bazar,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Balrampur,Eastern Plateau and Hills Region,1,0,0,19.71,27.6,1.24
Chhattisgarh,Bastar,Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Bemetara,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Bijapur,Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Bilaspur,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Dantewada (South Bastar),Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Dhamtari,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Durg,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Gariyaband,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Gaurela Pendra Marwahi,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Janjgir-Champa,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Jashpur,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Kabirdham (Kawardha),Eastern Plateau and Hills Region,1,0,0,19.71,27.6,1.24
Chhattisgarh,Kanker (North Bastar),Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Kondagaon,Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Korba,Eastern Plateau and Hills Region,0,0,1,19.71,27.6,1.24
Chhattisgarh,Koriya,Eastern Plateau and Hills Region,1,0,0,19.71,27.6,1.24
Chhattisgarh,Mahasamund,Eastern Plateau and Hills Region,0,0,1,19.71,27.6,1.24
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Mungeli,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Narayanpur,Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Raigarh,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Raipur,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Rajnandgaon,Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Sakti,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Sarangarh-Bilaigarh,Eastern Plateau and Hills Region,0,0,0,19.71,27.6,1.24
Chhattisgarh,Sukma,Eastern Plateau and Hills Region,1,0,1,19.71,27.6,1.24
Chhattisgarh,Surajpur,Eastern Plateau and Hills Region,1,0,0,19.71,27.6,1.24
Chhattisgarh,Surguja,Eastern Plateau and Hills Region,1,0,0,19.71,27.6,1.24
Dadra and Nagar Haveli and Daman and Diu (UT),Dadra and Nagar Haveli,Gujarat Plains and Hills Region,0,0,0,9.5,6.5,0.87
Dadra and Nagar Haveli and Daman and Diu (UT),Daman,Gujarat Plains and Hills Region,0,0,0,9.5,6.5,0.87
Dadra and Nagar Haveli and Daman and Diu (UT),Diu,Gujarat Plains and Hills Region,0,0,0,9.5,6.5,0.87
Delhi (NCT),Central Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),East Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),New Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),North Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),North East Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),North West Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),Shahdara,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),South Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),South East Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),South West Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Delhi (NCT),West Delhi,Trans-Gangetic Plains Region,0,0,0,2.1,85.0,1.39
Goa,North Goa,West Coast Plains and Ghats Region,0,0,0,0.8,10.0,1.1
Goa,South Goa,West Coast Plains and Ghats Region,0,0,0,0.8,10.0,1.1
Gujarat,Ahmedabad,Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Gujarat,Amreli,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Anand,Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Gujarat,Aravalli,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Banaskantha (Palanpur),Gujarat Plains and Hills Region,1,1,0,11.9,44.7,1.88
Gujarat,Bharuch,Gujarat Plains and Hills Region,1,1,0,11.9,44.7,1.88
Gujarat,Bhavnagar,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Botad,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Chhota Udepur,Gujarat Plains and Hills Region,0,0,0,11.9,44.7,1.88
Gujarat,Dahod,Gujarat Plains and Hills Region,1,0,1,11.9,44.7,1.88
Gujarat,Dangs (Ahwa),Gujarat Plains and Hills Region,0,0,0,11.9,44.7,1.88
Gujarat,Devbhoomi Dwarka,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Gandhinagar,Gujarat Plains and Hills Region,0,0,0,11.9,44.7,1.88
Gujarat,Gir Somnath,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Jamnagar,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Junagadh,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Kachchh,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Kheda (Nadiad),Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Gujarat,Mahisagar,Gujarat Plains and Hills Region,0,0,0,11.9,44.7,1.88
Gujarat,Mehsana,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Morbi,Gujarat Plains and Hills Region,1,0,1,11.9,44.7,1.88
Gujarat,Narmada (Rajpipla),Gujarat Plains and Hills Region,0,0,1,11.9,44.7,1.88
Gujarat,Navsari,Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Gujarat,Panchmahal (Godhra),Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Patan,Gujarat Plains and Hills Region,1,1,0,11.9,44.7,1.88
Gujarat,Porbandar,Gujarat Plains and Hills Region,0,0,0,11.9,44.7,1.88
Gujarat,Rajkot,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Sabarkantha (Himmatnagar),Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Surat,Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Gujarat,Surendranagar,Gujarat Plains and Hills Region,1,0,0,11.9,44.7,1.88
Gujarat,Tapi (Vyara),Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Gujarat,Vadodara,Gujarat Plains and Hills Region,0,0,0,11.9,44.7,1.88
Gujarat,Valsad,Gujarat Plains and Hills Region,0,1,0,11.9,44.7,1.88
Haryana,Ambala,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Bhiwani,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Charkhi Dadri,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Faridabad,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Fatehabad,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Gurugram (Gurgaon),Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Hisar,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Jhajjar,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Jind,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Kaithal,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Karnal,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Kurukshetra,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Mahendragarh,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Nuh,Trans-Gangetic Plains Region,0,0,1,6.8,87.6,2.22
Haryana,Palwal,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Panchkula,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Panipat,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Rewari,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Rohtak,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Sirsa,Trans-Gangetic Plains Region,1,0,0,6.8,87.6,2.22
Haryana,Sonipat,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Haryana,Yamunanagar,Trans-Gangetic Plains Region,0,0,0,6.8,87.6,2.22
Himachal Pradesh,Bilaspur,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Chamba,Western Himalayan Region,1,0,1,3.8,11.0,0.95
Himachal Pradesh,Hamirpur,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Kangra,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Kinnaur,Western Himalayan Region,1,0,0,3.8,11.0,0.95
Himachal Pradesh,Kullu,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Lahaul & Spiti,Western Himalayan Region,1,0,0,3.8,11.0,0.95
Himachal Pradesh,Mandi,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Shimla,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Sirmaur (Sirmour),Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Solan,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Himachal Pradesh,Una,Western Himalayan Region,0,0,0,3.8,11.0,0.95
Jammu and Kashmir (UT),Anantnag,Western Himalayan Region,0,1,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Bandipore,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Baramulla,Western Himalayan Region,0,1,1,6.1,41.1,0.59
Jammu and Kashmir (UT),Budgam,Western Himalayan Region,0,1,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Doda,Western Himalayan Region,1,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Ganderbal,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Jammu,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Kathua,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Kishtwar,Western Himalayan Region,1,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Kulgam,Western Himalayan Region,0,1,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Kupwara,Western Himalayan Region,0,0,1,6.1,41.1,0.59
Jammu and Kashmir (UT),Poonch,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Pulwama,Western Himalayan Region,0,1,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Rajouri,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Ramban,Western Himalayan Region,1,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Reasi,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Samba,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Shopian,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Srinagar,Western Himalayan Region,0,1,0,6.1,41.1,0.59
Jammu and Kashmir (UT),Udhampur,Western Himalayan Region,0,0,0,6.1,41.1,0.59
Jharkhand,Bokaro,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Chatra,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Deoghar,Eastern Plateau and Hills Region,1,0,0,32.23,5.4,1.1
Jharkhand,Dhanbad,Eastern Plateau and Hills Region,1,0,0,32.23,5.4,1.1
Jharkhand,Dumka,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,East Singhbhum,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Garhwa,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Giridih,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Godda,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Gumla,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Hazaribag,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Jamtara,Eastern Plateau and Hills Region,1,0,0,32.23,5.4,1.1
Jharkhand,Khunti,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Koderma,Eastern Plateau and Hills Region,1,0,0,32.23,5.4,1.1
Jharkhand,Latehar,Eastern Plateau and Hills Region,0,0,1,32.23,5.4,1.1
Jharkhand,Lohardaga,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Pakur,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Palamu,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Ramgarh,Eastern Plateau and Hills Region,0,0,1,32.23,5.4,1.1
Jharkhand,Ranchi,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Sahibganj,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,Seraikela-Kharsawan,Eastern Plateau and Hills Region,1,0,0,32.23,5.4,1.1
Jharkhand,Simdega,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Jharkhand,West Singhbhum,Eastern Plateau and Hills Region,1,0,1,32.23,5.4,1.1
Karnataka,Bagalkot,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Ballari (Bellary),Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Belagavi (Belgaum),Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Bengaluru (Bangalore) Rural,Southern Plateau and Hills Region,0,0,0,10.1,28.5,1.36
Karnataka,Bengaluru (Bangalore) Urban,Southern Plateau and Hills Region,0,0,0,10.1,28.5,1.36
Karnataka,Bidar,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Chamarajanagar,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Chikballapur,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Chikkamagaluru (Chikmagalur),Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Chitradurga,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Dakshina Kannada,West Coast Plains and Ghats Region,0,0,0,10.1,28.5,1.36
Karnataka,Davangere,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
Karnataka,Dharwad,Southern Plateau and Hills Region,1,0,0,10.1,28.5,1.36
